M = multiplicity (number of factorizations)
F = number of factors
N = number
P = product

M F N            P
- - ----------   -------------- 
1 3 1073945628 = 6*2154*83097
1 3 1073952864 = 216*548*9073
1 5 1074259368 = 7*9*82*403*516
1 2 1074296538 = 5406*198723
1 2 1074325698 = 6*179054283
1 2 1074325968 = 6*179054328
1 3 1074326895 = 207*615*8439
1 3 1074352896 = 48*3156*7092
1 3 1074358692 = 9*682*175034
1 2 1074368952 = 12*89530746
1 3 1074392865 = 7*2405*63819
1 2 1074569328 = 6804*157932
1 3 1074582639 = 3*57*6284109
1 2 1074592836 = 29508*36417
1 3 1074598326 = 61*74*238059
1 3 1074639258 = 34*621*50897
1 2 1074682935 = 4071*263985
1 2 1074832596 = 1542*697038
1 2 1074835296 = 6978*154032
1 2 1074895236 = 12*89574603
1 3 1074963285 = 209*837*6145
1 3 1075243896 = 4*86*3125709
1 2 1075248936 = 1542*697308
1 4 1075284936 = 3*9*76*524018
1 2 1075289436 = 12*89607453
1 3 1075293864 = 9*568*210347
1 2 1075324896 = 72*14935068
1 3 1075369842 = 9*251*476038
1 4 1075389426 = 58*73*409*621
1 4 1075683924 = 3*7*564*90821
1 2 1075698324 = 6*179283054
1 3 1075896432 = 57*312*60498
1 2 1075924368 = 8304*129567
1 2 1075938624 = 192*5603847
1 2 1075968324 = 6*179328054
1 3 1076239548 = 2*601*895374
1 2 1076392548 = 231*4659708
1 4 1076394528 = 9*74*528*3061
1 3 1076423985 = 3*4095*87621
1 3 1076498352 = 76*3092*4581
1 2 1076523498 = 6*179420583
1 4 1076534928 = 51*72*86*3409
1 3 1076538924 = 3*6927*51804
1 3 1076582934 = 7*3618*42509
1 2 1076583492 = 6*179430582
1 3 1076584932 = 3*6*59810274
1 2 1076592348 = 6*179432058
1 4 1076598432 = 8*52*63*41079
1 3 1076835429 = 9*4583*26107
1 4 1076845392 = 8*42*501*6397
1 2 1076849235 = 63*17092845
1 3 1076859432 = 9*478*250316
1 3 1076928534 = 6*5841*30729
1 3 1076932458 = 58*203*91467
1 3 1076934528 = 3*5172*69408
1 2 1076938254 = 63*17094258
1 2 1076983524 = 186*5790234
1 2 1078243965 = 28401*37965
1 4 1078294536 = 9*38*524*6017
1 4 1078329564 = 3*9*52*768041
1 4 1078429536 = 2*8*746*90351
1 3 1078456392 = 52*3089*6714
